case,fold,dice,iou,precision,recall,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_001,3,0.9828770780677085,0.9663306733865322,0.976438782487052,0.989400840925018,124245,2998,1331,4065730,127243,125576,1667,1.327482958527107
AAA_002,4,0.9680668063678729,0.9381099593865552,0.951842056707055,0.984854270077638,15476,783,238,4177807,16259,15714,545,3.4682448771795853
AAA_003,1,0.9799369516873977,0.9606631210770926,0.984641072546685,0.975277564967835,80200,1251,2033,4110820,81451,82233,-782,-0.9509564286843482
AAA_004,2,0.9765246100717241,0.9541261271950641,0.985070284506783,0.968125931165255,128662,1950,4236,4059456,130612,132898,-2286,-1.7201161793254978
AAA_005,1,0.9780685314190742,0.9570783966338169,0.975963302752294,0.980182862002977,69147,1703,1398,4122056,70850,70545,305,0.4323481465731094
AAA_006,3,0.9699026025866199,0.941563977369604,0.951996614844534,0.988495085595261,60745,3063,707,4129789,63808,61452,2356,3.8338866106880167
AAA_007,2,0.9796763583546448,0.9601623625762867,0.966351011923665,0.993374338732295,133886,4662,893,4054863,138548,134779,3769,2.7964297108600005
AAA_008,4,0.9190524186819569,0.8502284796838335,0.931342839362537,0.907082152974504,68843,5075,7052,4113334,73918,75895,-1977,-2.604914684761842
AAA_009,2,0.9798730147310106,0.9605402355596304,0.988998620289013,0.970914275530208,54478,606,1632,4137588,55084,56110,-1026,-1.8285510604170379
AAA_010,2,0.9767520652098094,0.9545605048399977,0.982479352096865,0.971091164873487,49010,874,1459,4142961,49884,50469,-585,-1.159127385127504
AAA_011,0,0.9580355305576514,0.9194512468072781,0.932937907448969,0.984520822172724,34918,2510,549,4156327,37428,35467,1961,5.529083373276567
AAA_012,4,0.974567785862092,0.9503970837130582,0.9797342638572,0.969455511288181,36500,755,1150,4155899,37255,37650,-395,-1.049136786188579
AAA_013,3,0.9696792632581772,0.94114311076043,0.958490281753804,0.981132560470915,38169,1653,734,4153748,39822,38903,919,2.3622856849086187
AAA_014,1,0.9705316202131489,0.9427502964336749,0.96592112640957,0.975186338333805,31008,1094,789,4161413,32102,31797,305,0.9592099883636821
AAA_015,3,0.9798173364862629,0.9604332356634575,0.988380107260548,0.971401657476106,91779,1079,2702,4098744,92858,94481,-1623,-1.7178056963833999
AAA_016,2,0.9847715736040609,0.97,0.977385363413223,0.992270270699247,125033,2893,974,4065404,127926,126007,1919,1.522931265723333
AAA_017,0,0.9751484895966185,0.9515022222222222,0.976892750237278,0.973410446675396,26761,633,731,4166179,27394,27492,-98,-0.35646733595227703
AAA_018,0,0.940776182881446,0.8881750652479422,0.898300168242734,0.987468511845923,30968,3506,393,4159437,34474,31361,3113,9.926341634514205
AAA_019,2,0.9753469076343522,0.9518801191362621,0.977876582165011,0.97283028739254,81816,1851,2285,4108352,83667,84101,-434,-0.5160461825662002
AAA_020,1,0.9593383506635109,0.9218542369416335,0.983210684110112,0.936597777546993,54111,924,3663,4135606,55035,57774,-2739,-4.740886904143732
AAA_021,0,0.9779299277881787,0.9568129958759866,0.991890855691954,0.964356547058079,137118,1121,5068,4050997,138239,142186,-3947,-2.775941372568326
AAA_022,2,0.9725314057126816,0.9465315155323625,0.978505860754131,0.966629464285714,34644,761,1196,4157703,35405,35840,-435,-1.2137276785714286
AAA_023,3,0.9705893779867127,0.9428592995169082,0.977271838203654,0.963997684738568,99928,2324,3732,4088320,102252,103660,-1408,-1.3582867065406135
AAA_024,4,0.9606849776568628,0.9243443585478031,0.952637285058746,0.968869799346112,151134,7514,4856,4030800,158648,155990,2658,1.7039553817552406
AAA_025,1,0.963967700226879,0.9304417443722333,0.959450271950272,0.968527869013187,39514,1670,1284,4151836,41184,40798,386,0.9461248100397078
AAA_026,2,0.9765068818224965,0.9540922791560399,0.982673530036086,0.970417147049575,37035,653,1129,4155487,37688,38164,-476,-1.247248716067498
AAA_027,3,0.967793119746126,0.9375960752248569,0.989575062998378,0.94694942688204,57334,604,3212,4133154,57938,60546,-2608,-4.307468701483169
AAA_028,0,0.9716404049397118,0.9448449838042781,0.958146012139927,0.985520333810799,63298,2765,930,4127311,66063,64228,1835,2.8570094039982563
AAA_029,1,0.9634200377451383,0.9294218225571528,0.948086659506948,0.979257541764318,117412,6429,2487,4067976,123841,119899,3942,3.28776720406342
AAA_030,4,0.9776143898115932,0.9562090663927058,0.975986997326063,0.979247218496015,37230,916,789,4155369,38146,38019,127,0.33404350456350773
AAA_031,3,0.9763671901696259,0.9538256108959807,0.97377174327935,0.978976509607214,71432,1924,1534,4119414,73356,72966,390,0.5344955184606529
AAA_032,4,0.9704701928410611,0.9426343813387424,0.963615745990604,0.977422853199251,29742,1123,687,4162752,30865,30429,436,1.4328436688685136
AAA_033,2,0.9813444672990923,0.9633722448815575,0.983347005742412,0.9793500684246,47948,812,1011,4144533,48760,48959,-199,-0.4064625502971874
AAA_034,1,0.9531335435595137,0.9104633525085144,0.973216470876162,0.933862705669959,63625,1751,4506,4124422,65376,68131,-2755,-4.0436805565748335
AAA_035,4,0.9779261160328703,0.9568056980744855,0.965277439469966,0.990910682136427,79257,2851,727,4111469,82108,79984,2124,2.655531106221244
AAA_036,1,0.9388667893684814,0.8847775000932523,0.971931981151403,0.907977338845506,47440,1370,4808,4140686,48810,52248,-3438,-6.580156178226917
AAA_037,4,0.9809600713997323,0.9626316338233761,0.976333488431115,0.985630711418567,46163,1119,673,4146349,47282,46836,446,0.9522589461098301
AAA_038,2,0.978127026798387,0.957190426256048,0.972723363682252,0.983591062043934,52030,1459,868,4139947,53489,52898,591,1.1172445082989906
AAA_039,3,0.9738877059284994,0.9491044124071647,0.979296799536351,0.968538037767092,30415,643,988,4162258,31058,31403,-345,-1.0986211508454606
AAA_040,1,0.9712861001454395,0.9441751494587171,0.971057441976403,0.971514866025659,35061,1045,1028,4157170,36106,36089,17,0.0471057662999806
AAA_041,1,0.9679323367783079,0.9378574402348971,0.963270542164607,0.972639472787183,42801,1632,1204,4148667,44433,44005,428,0.9726167480968072
AAA_042,3,0.9765300281241445,0.9541364719614804,0.968933669185558,0.984246437888822,78472,2516,1256,4112060,80988,79728,1260,1.580373269114991
AAA_043,1,0.9758181874477506,0.952778281637342,0.966886875421839,0.984916038168257,47274,1619,724,4144687,48893,47998,895,1.8646610275428144
AAA_044,4,0.9693260416782687,0.9404778629088905,0.969293653799033,0.969358431721987,87029,2757,2751,4101767,89786,89780,6,0.006683002895967922
AAA_045,3,0.9806548531485683,0.9620439712472556,0.971275012904989,0.990217626845804,63974,1892,632,4127806,65866,64606,1260,1.9502832554251928
AAA_046,2,0.9806474777092933,0.9620297750434416,0.979170899009333,0.9821285164631,81938,1743,1491,4109132,83681,83429,252,0.302053242877177
AAA_047,3,0.9842402721255856,0.9689695753002665,0.986213780348178,0.982274646487093,167967,2348,3031,4020958,170315,170998,-683,-0.3994198762558626
AAA_048,1,0.9729709171125028,0.9473645228984076,0.977382134943073,0.968599338667744,38373,888,1244,4153799,39261,39617,-356,-0.8986041345886867
AAA_049,1,0.9854685765875595,0.9713534286329679,0.984263003124426,0.98667710696314,85686,1370,1157,4106091,87056,86843,213,0.2452702002464217
AAA_050,2,0.9835750295196951,0.9676808993141061,0.984333649396414,0.982817578069804,69554,1107,1216,4122427,70661,70770,-109,-0.1540200649992935
AAA_051,0,0.9504224454009246,0.9055285540704738,0.948834248428424,0.952015968063872,23848,1286,1202,4167968,25134,25050,84,0.33532934131736525
AAA_052,1,0.9792458795081898,0.9593357105787421,0.976792152116661,0.98171196559965,114608,2723,2135,4074838,117331,116743,588,0.5036704556161825
AAA_053,0,0.9741601044675715,0.9496219719179139,0.958066587534782,0.990803533696899,49236,2155,457,4142456,51391,49693,1698,3.416980258788964
AAA_054,3,0.9733700989650222,0.9481217116155856,0.980070741261933,0.966760457700244,25769,524,886,4167125,26293,26655,-362,-1.3580941661977115
AAA_055,0,0.9740096038415366,0.9493359854911367,0.969354838709677,0.978709288299156,32454,1026,706,4160118,33480,33160,320,0.9650180940892642
AAA_056,0,0.9721331943210926,0.9457773993187738,0.96027972027972,0.984282958869833,37763,1562,603,4154376,39325,38366,959,2.499609028827608
AAA_057,0,0.9828278356967319,0.9662354812569405,0.975664454344334,0.990097182925329,64388,1606,644,4127666,65994,65032,962,1.4792717431418378
AAA_058,3,0.9767879994312527,0.9546291471252388,0.96487511411784,0.988998728315378,82437,3001,917,4107949,85438,83354,2084,2.500179955371068
AAA_059,3,0.9874724469148076,0.9752548895148173,0.986565936270969,0.988380624993718,196666,2678,2312,3992648,199344,198978,366,0.183939933057926
AAA_060,4,0.9767091967465146,0.9544786229301898,0.991390578318395,0.962456299365532,148661,1291,5799,4038553,149952,154460,-4508,-2.9185549656869094
AAA_061,2,0.9809059118432861,0.9625273301481901,0.98516400406125,0.976684470008217,47545,716,1135,4144908,48261,48680,-419,-0.8607230895645028
AAA_062,0,0.9694524312560563,0.9407158491845732,0.964625549268169,0.974327862571045,61028,2238,1608,4129430,63266,62636,630,1.0058113544926242
