case,fold,dice,iou,precision,recall,tp,fp,fn,tn,n_pred,n_ref,volume_difference,volume_difference_pct
AAA_178,3,0.9504613034024799,0.9055991041433371,0.9214320981402474,0.9813791057656006,72783,6206,1381,4113934,78989,74164,4825,6.505851895798501
AAA_077,3,0.9534097313544994,0.9109675103213067,0.9744623655913979,0.933247517469658,40600,1064,2904,4149736,41664,43504,-1840,-4.229496138286135
AAA_063,3,0.9582632494226986,0.9198708300265456,0.9610853777091554,0.9554576463899943,33613,1361,1567,4157763,34974,35180,-206,-0.5855599772598067
AAA_108,3,0.962988792029888,0.9286194639254491,0.9797780142922305,0.9467652676428816,19332,399,1087,4173486,19731,20419,-688,-3.3694108428424507
AAA_075,3,0.9654072850309855,0.9331278589757893,0.9433768064857243,0.9884913130835599,66909,4016,779,4122600,70925,67688,3237,4.782236142299965
AAA_027,3,0.967793119746126,0.9375960752248569,0.9895750629983776,0.9469494268820401,57334,604,3212,4133154,57938,60546,-2608,-4.307468701483169
AAA_073,3,0.9690619894717735,0.9399808519769783,0.9658077136169876,0.9723382699466118,85417,3024,2430,4103433,88441,87847,594,0.676175623527269
AAA_189,3,0.9692500627037873,0.9403348257737979,0.9722576316672258,0.9662610435072512,28983,827,1012,4163482,29810,29995,-185,-0.6167694615769295
AAA_013,3,0.9696792632581772,0.94114311076043,0.9584902817538045,0.9811325604709148,38169,1653,734,4153748,39822,38903,919,2.3622856849086187
AAA_006,3,0.9699026025866199,0.941563977369604,0.9519966148445336,0.9884950855952613,60745,3063,707,4129789,63808,61452,2356,3.8338866106880167
AAA_176,3,0.9703642656996868,0.9424345264775565,0.9670170827858081,0.9737347006285147,44154,1506,1191,4147453,45660,45345,315,0.6946741647370163
AAA_023,3,0.9705893779867127,0.9428592995169082,0.9772718382036537,0.9639976847385684,99928,2324,3732,4088320,102252,103660,-1408,-1.3582867065406135
AAA_109,3,0.9720462169213567,0.9456127628716461,0.9755458923645205,0.9685715612088576,20864,523,677,4172240,21387,21541,-154,-0.7149157420732557
AAA_194,3,0.9732373440120391,0.9478698298348032,0.9673587871412636,0.9791877846923719,76313,2575,1622,4113794,78888,77935,953,1.222813883364342
AAA_054,3,0.9733700989650222,0.9481217116155856,0.9800707412619328,0.9667604577002439,25769,524,886,4167125,26293,26655,-362,-1.3580941661977115
AAA_039,3,0.9738877059284994,0.9491044124071647,0.9792967995363513,0.9685380377670924,30415,643,988,4162258,31058,31403,-345,-1.0986211508454606
AAA_151,3,0.9738945289597927,0.9491173728686133,0.9782716508585952,0.9695564020643893,63122,1402,1982,4127798,64524,65104,-580,-0.8908822806586385
AAA_089,3,0.9747983175894642,0.9508356592796853,0.9810214419540628,0.9686536485097637,28275,547,915,4164567,28822,29190,-368,-1.2607057211373758
AAA_160,3,0.9760729455368418,0.9532641424819015,0.9765053322395406,0.9756409415776015,29759,716,743,4163086,30475,30502,-27,-0.08851878565339978
AAA_031,3,0.9763671901696259,0.9538256108959807,0.97377174327935,0.9789765096072143,71432,1924,1534,4119414,73356,72966,390,0.5344955184606529
AAA_042,3,0.9765300281241445,0.9541364719614804,0.9689336691855583,0.984246437888822,78472,2516,1256,4112060,80988,79728,1260,1.580373269114991
AAA_058,3,0.9767879994312527,0.9546291471252388,0.9648751141178399,0.9889987283153778,82437,3001,917,4107949,85438,83354,2084,2.500179955371068
AAA_148,3,0.9778355017130573,0.9566322283270678,0.9698649609097371,0.9859381350191917,109168,3392,1557,4080187,112560,110725,1835,1.6572589749379092
AAA_177,3,0.977947259044045,0.9568461781427668,0.9787700923507714,0.9771258080556937,72705,1577,1702,4118320,74282,74407,-125,-0.1679949467120029
AAA_161,3,0.9786174416716289,0.9581301674793301,0.9852231322599733,0.9720997403555133,63273,949,1816,4128266,64222,65089,-867,-1.3320223079168523
AAA_083,3,0.978950642886769,0.9587691682746013,0.9837009913369653,0.9742459533567238,66087,1095,1747,4125375,67182,67834,-652,-0.9611699147919922
AAA_162,3,0.9796986279500847,0.9602051460361614,0.9801767587137077,0.9792209634239314,55231,1117,1172,4136784,56348,56403,-55,-0.09751254365902523
AAA_015,3,0.9798173364862629,0.9604332356634575,0.9883801072605484,0.9714016574761063,91779,1079,2702,4098744,92858,94481,-1623,-1.7178056963833999
AAA_153,3,0.9800147523415863,0.9608126731160201,0.9777151425953181,0.9823252050666815,70417,1605,1267,4121015,72022,71684,338,0.4715138664137046
AAA_081,3,0.9805128619148056,0.9617707034111381,0.9717360430460265,0.9894496720844026,48580,1413,518,4143793,49993,49098,895,1.8228848425597783
AAA_045,3,0.9806548531485683,0.9620439712472556,0.971275012904989,0.9902176268458038,63974,1892,632,4127806,65866,64606,1260,1.9502832554251928
AAA_124,3,0.9806850923060506,0.9621021775544388,0.9782319442226834,0.9831505750200589,36760,818,630,4156096,37578,37390,188,0.5028082374966568
AAA_084,3,0.9807335778048203,0.9621955128205129,0.9760383646265138,0.9854741817943079,60041,1474,885,4131904,61515,60926,589,0.966746544989003
AAA_064,3,0.9821012948696934,0.9648320504975685,0.9726158591023456,0.9917735661673426,59918,1687,497,4132202,61605,60415,1190,1.9697095092278407
AAA_180,3,0.9821858306201059,0.9649952419295805,0.9775899147200593,0.9868251639368806,65914,1511,880,4125999,67425,66794,631,0.9446956313441327
AAA_001,3,0.9828770780677085,0.9663306733865322,0.9764387824870523,0.9894008409250176,124245,2998,1331,4065730,127243,125576,1667,1.327482958527107
AAA_091,3,0.9835437112603306,0.9676202726630301,0.9796458113941654,0.9874727536443266,121865,2532,1546,4068361,124397,123411,986,0.798956332903874
AAA_166,3,0.9838793388169794,0.9682701832590391,0.9843050562107135,0.9834539895143097,125116,1995,2105,4065088,127111,127221,-110,-0.08646371275182556
AAA_047,3,0.9842402721255856,0.9689695753002665,0.9862137803481784,0.9822746464870934,167967,2348,3031,4020958,170315,170998,-683,-0.3994198762558626
AAA_059,3,0.9874724469148076,0.9752548895148173,0.9865659362709688,0.9883806249937179,196666,2678,2312,3992648,199344,198978,366,0.183939933057926
